Date,Country,Product,Age Group,Sales
2024-01-01,USA,Electronics,20-29,61
2024-01-01,USA,Electronics,30-39,80
2024-01-01,USA,Electronics,40-49,13
2024-01-01,USA,Electronics,50-59,81
2024-01-01,USA,Electronics,60+,65
2024-01-01,USA,Clothing,20-29,78
2024-01-01,USA,Clothing,30-39,76
2024-01-01,USA,Clothing,40-49,54
2024-01-01,USA,Clothing,50-59,70
2024-01-01,USA,Clothing,60+,33
2024-01-01,USA,Food,20-29,81
2024-01-01,USA,Food,30-39,44
2024-01-01,USA,Food,40-49,26
2024-01-01,USA,Food,50-59,45
2024-01-01,USA,Food,60+,16
2024-01-01,USA,Furniture,20-29,80
2024-01-01,USA,Furniture,30-39,57
2024-01-01,USA,Furniture,40-49,95
2024-01-01,USA,Furniture,50-59,31
2024-01-01,USA,Furniture,60+,27
2024-01-01,USA,Toys,20-29,57
2024-01-01,USA,Toys,30-39,56
2024-01-01,USA,Toys,40-49,64
2024-01-01,USA,Toys,50-59,6
2024-01-01,USA,Toys,60+,28
2024-01-01,South Korea,Electronics,20-29,98
2024-01-01,South Korea,Electronics,30-39,11
2024-01-01,South Korea,Electronics,40-49,95
2024-01-01,South Korea,Electronics,50-59,38
2024-01-01,South Korea,Electronics,60+,77
2024-01-01,South Korea,Clothing,20-29,44
2024-01-01,South Korea,Clothing,30-39,66
2024-01-01,South Korea,Clothing,40-49,17
2024-01-01,South Korea,Clothing,50-59,27
2024-01-01,South Korea,Clothing,60+,28
2024-01-01,South Korea,Food,20-29,3
2024-01-01,South Korea,Food,30-39,38
2024-01-01,South Korea,Food,40-49,35
2024-01-01,South Korea,Food,50-59,81
2024-01-01,South Korea,Food,60+,40
2024-01-01,South Korea,Furniture,20-29,4
2024-01-01,South Korea,Furniture,30-39,87
2024-01-01,South Korea,Furniture,40-49,9
2024-01-01,South Korea,Furniture,50-59,65
2024-01-01,South Korea,Furniture,60+,59
2024-01-01,South Korea,Toys,20-29,4
2024-01-01,South Korea,Toys,30-39,17
2024-01-01,South Korea,Toys,40-49,7
2024-01-01,South Korea,Toys,50-59,68
2024-01-01,South Korea,Toys,60+,37
2024-01-01,Germany,Electronics,20-29,70
2024-01-01,Germany,Electronics,30-39,79
2024-01-01,Germany,Electronics,40-49,74
2024-01-01,Germany,Electronics,50-59,43
2024-01-01,Germany,Electronics,60+,72
2024-01-01,Germany,Clothing,20-29,41
2024-01-01,Germany,Clothing,30-39,72
2024-01-01,Germany,Clothing,40-49,45
2024-01-01,Germany,Clothing,50-59,9
2024-01-01,Germany,Clothing,60+,75
2024-01-01,Germany,Food,20-29,18
2024-01-01,Germany,Food,30-39,100
2024-01-01,Germany,Food,40-49,29
2024-01-01,Germany,Food,50-59,90
2024-01-01,Germany,Food,60+,9
2024-01-01,Germany,Furniture,20-29,31
2024-01-01,Germany,Furniture,30-39,70
2024-01-01,Germany,Furniture,40-49,64
2024-01-01,Germany,Furniture,50-59,72
2024-01-01,Germany,Furniture,60+,17
2024-01-01,Germany,Toys,20-29,52
2024-01-01,Germany,Toys,30-39,37
2024-01-01,Germany,Toys,40-49,80
2024-01-01,Germany,Toys,50-59,21
2024-01-01,Germany,Toys,60+,81
2024-01-01,Japan,Electronics,20-29,66
2024-01-01,Japan,Electronics,30-39,87
2024-01-01,Japan,Electronics,40-49,99
2024-01-01,Japan,Electronics,50-59,57
2024-01-01,Japan,Electronics,60+,44
2024-01-01,Japan,Clothing,20-29,81
2024-01-01,Japan,Clothing,30-39,39
2024-01-01,Japan,Clothing,40-49,78
2024-01-01,Japan,Clothing,50-59,93
2024-01-01,Japan,Clothing,60+,65
2024-01-01,Japan,Food,20-29,18
2024-01-01,Japan,Food,30-39,61
2024-01-01,Japan,Food,40-49,70
2024-01-01,Japan,Food,50-59,85
2024-01-01,Japan,Food,60+,71
2024-01-01,Japan,Furniture,20-29,90
2024-01-01,Japan,Furniture,30-39,74
2024-01-01,Japan,Furniture,40-49,83
2024-01-01,Japan,Furniture,50-59,46
2024-01-01,Japan,Furniture,60+,23
2024-01-01,Japan,Toys,20-29,73
2024-01-01,Japan,Toys,30-39,35
2024-01-01,Japan,Toys,40-49,96
2024-01-01,Japan,Toys,50-59,32
2024-01-01,Japan,Toys,60+,0
2024-01-01,India,Electronics,20-29,10
2024-01-01,India,Electronics,30-39,12
2024-01-01,India,Electronics,40-49,14
2024-01-01,India,Electronics,50-59,44
2024-01-01,India,Electronics,60+,89
2024-01-01,India,Clothing,20-29,1
2024-01-01,India,Clothing,30-39,7
2024-01-01,India,Clothing,40-49,80
2024-01-01,India,Clothing,50-59,41
2024-01-01,India,Clothing,60+,41
2024-01-01,India,Food,20-29,48
2024-01-01,India,Food,30-39,43
2024-01-01,India,Food,40-49,40
2024-01-01,India,Food,50-59,52
2024-01-01,India,Food,60+,67
2024-01-01,India,Furniture,20-29,68
2024-01-01,India,Furniture,30-39,98
2024-01-01,India,Furniture,40-49,57
2024-01-01,India,Furniture,50-59,10
2024-01-01,India,Furniture,60+,1
2024-01-01,India,Toys,20-29,5
2024-01-01,India,Toys,30-39,73
2024-01-01,India,Toys,40-49,9
2024-01-01,India,Toys,50-59,15
2024-01-01,India,Toys,60+,97
2024-01-02,USA,Electronics,20-29,4
2024-01-02,USA,Electronics,30-39,53
2024-01-02,USA,Electronics,40-49,9
2024-01-02,USA,Electronics,50-59,23
2024-01-02,USA,Electronics,60+,17
2024-01-02,USA,Clothing,20-29,36
2024-01-02,USA,Clothing,30-39,35
2024-01-02,USA,Clothing,40-49,84
2024-01-02,USA,Clothing,50-59,76
2024-01-02,USA,Clothing,60+,25
2024-01-02,USA,Food,20-29,58
2024-01-02,USA,Food,30-39,75
2024-01-02,USA,Food,40-49,25
2024-01-02,USA,Food,50-59,1
2024-01-02,USA,Food,60+,81
2024-01-02,USA,Furniture,20-29,59
2024-01-02,USA,Furniture,30-39,87
2024-01-02,USA,Furniture,40-49,66
2024-01-02,USA,Furniture,50-59,10
2024-01-02,USA,Furniture,60+,78
2024-01-02,USA,Toys,20-29,85
2024-01-02,USA,Toys,30-39,9
2024-01-02,USA,Toys,40-49,38
2024-01-02,USA,Toys,50-59,30
2024-01-02,USA,Toys,60+,36
2024-01-02,South Korea,Electronics,20-29,94
2024-01-02,South Korea,Electronics,30-39,14
2024-01-02,South Korea,Electronics,40-49,6
2024-01-02,South Korea,Electronics,50-59,65
2024-01-02,South Korea,Electronics,60+,3
2024-01-02,South Korea,Clothing,20-29,67
2024-01-02,South Korea,Clothing,30-39,60
2024-01-02,South Korea,Clothing,40-49,34
2024-01-02,South Korea,Clothing,50-59,49
2024-01-02,South Korea,Clothing,60+,54
2024-01-02,South Korea,Food,20-29,9
2024-01-02,South Korea,Food,30-39,86
2024-01-02,South Korea,Food,40-49,6
2024-01-02,South Korea,Food,50-59,59
2024-01-02,South Korea,Food,60+,42
2024-01-02,South Korea,Furniture,20-29,1
2024-01-02,South Korea,Furniture,30-39,57
2024-01-02,South Korea,Furniture,40-49,3
2024-01-02,South Korea,Furniture,50-59,63
2024-01-02,South Korea,Furniture,60+,90
2024-01-02,South Korea,Toys,20-29,28
2024-01-02,South Korea,Toys,30-39,29
2024-01-02,South Korea,Toys,40-49,87
2024-01-02,South Korea,Toys,50-59,89
2024-01-02,South Korea,Toys,60+,74
2024-01-02,Germany,Electronics,20-29,84
2024-01-02,Germany,Electronics,30-39,63
2024-01-02,Germany,Electronics,40-49,79
2024-01-02,Germany,Electronics,50-59,7
2024-01-02,Germany,Electronics,60+,14
2024-01-02,Germany,Clothing,20-29,19
2024-01-02,Germany,Clothing,30-39,24
2024-01-02,Germany,Clothing,40-49,23
2024-01-02,Germany,Clothing,50-59,51
2024-01-02,Germany,Clothing,60+,44
2024-01-02,Germany,Food,20-29,46
2024-01-02,Germany,Food,30-39,83
2024-01-02,Germany,Food,40-49,73
2024-01-02,Germany,Food,50-59,15
2024-01-02,Germany,Food,60+,42
2024-01-02,Germany,Furniture,20-29,90
2024-01-02,Germany,Furniture,30-39,59
2024-01-02,Germany,Furniture,40-49,56
2024-01-02,Germany,Furniture,50-59,82
2024-01-02,Germany,Furniture,60+,10
2024-01-02,Germany,Toys,20-29,95
2024-01-02,Germany,Toys,30-39,94
2024-01-02,Germany,Toys,40-49,52
2024-01-02,Germany,Toys,50-59,32
2024-01-02,Germany,Toys,60+,88
2024-01-02,Japan,Electronics,20-29,72
2024-01-02,Japan,Electronics,30-39,19
2024-01-02,Japan,Electronics,40-49,49
2024-01-02,Japan,Electronics,50-59,76
2024-01-02,Japan,Electronics,60+,88
2024-01-02,Japan,Clothing,20-29,48
2024-01-02,Japan,Clothing,30-39,3
2024-01-02,Japan,Clothing,40-49,23
2024-01-02,Japan,Clothing,50-59,88
2024-01-02,Japan,Clothing,60+,66
2024-01-02,Japan,Food,20-29,43
2024-01-02,Japan,Food,30-39,13
2024-01-02,Japan,Food,40-49,95
2024-01-02,Japan,Food,50-59,42
2024-01-02,Japan,Food,60+,92
2024-01-02,Japan,Furniture,20-29,91
2024-01-02,Japan,Furniture,30-39,37
2024-01-02,Japan,Furniture,40-49,58
2024-01-02,Japan,Furniture,50-59,83
2024-01-02,Japan,Furniture,60+,92
2024-01-02,Japan,Toys,20-29,77
2024-01-02,Japan,Toys,30-39,63
2024-01-02,Japan,Toys,40-49,69
2024-01-02,Japan,Toys,50-59,52
2024-01-02,Japan,Toys,60+,4
2024-01-02,India,Electronics,20-29,7
2024-01-02,India,Electronics,30-39,40
2024-01-02,India,Electronics,40-49,2
2024-01-02,India,Electronics,50-59,21
2024-01-02,India,Electronics,60+,10
2024-01-02,India,Clothing,20-29,37
2024-01-02,India,Clothing,30-39,42
2024-01-02,India,Clothing,40-49,51
2024-01-02,India,Clothing,50-59,81
2024-01-02,India,Clothing,60+,90
2024-01-02,India,Food,20-29,53
2024-01-02,India,Food,30-39,91
2024-01-02,India,Food,40-49,64
2024-01-02,India,Food,50-59,98
2024-01-02,India,Food,60+,23
2024-01-02,India,Furniture,20-29,42
2024-01-02,India,Furniture,30-39,64
2024-01-02,India,Furniture,40-49,57
2024-01-02,India,Furniture,50-59,22
2024-01-02,India,Furniture,60+,81
2024-01-02,India,Toys,20-29,59
2024-01-02,India,Toys,30-39,53
2024-01-02,India,Toys,40-49,85
2024-01-02,India,Toys,50-59,60
2024-01-02,India,Toys,60+,65
2024-01-03,USA,Electronics,20-29,16
2024-01-03,USA,Electronics,30-39,30
2024-01-03,USA,Electronics,40-49,22
2024-01-03,USA,Electronics,50-59,16
2024-01-03,USA,Electronics,60+,77
2024-01-03,USA,Clothing,20-29,94
2024-01-03,USA,Clothing,30-39,23
2024-01-03,USA,Clothing,40-49,81
2024-01-03,USA,Clothing,50-59,31
2024-01-03,USA,Clothing,60+,49
